category,model,url
direct-cool-refrigerator,MFB-B2F-GDEH-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-gdeh-sc-inverter
direct-cool-refrigerator,MFB-B2F-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-gdeh-xx
direct-cool-refrigerator,MFB-B2F-GDEL-SC,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1527
direct-cool-refrigerator,MFB-B2F-GDEL-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-gdel-sc-inverter
direct-cool-refrigerator,MFB-B2F-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-gdel-xx
direct-cool-refrigerator,MFB-B2F-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-gdxx-xx
direct-cool-refrigerator,MFB-B2F-RNXX-RP,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-rnxx-rp
direct-cool-refrigerator,MFB-B2C-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2c-gdsh-xx
direct-cool-refrigerator,MFA-B2X-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b2x-gdel-xx
direct-cool-refrigerator,MFA-B2X-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b2x-gdxx-xx
direct-cool-refrigerator,MFA-B2X-RXXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b2x-rxxx-xx
direct-cool-refrigerator,MFB-B1H-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b1h-gdel-xx
direct-cool-refrigerator,MFB-B1H-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1503
direct-cool-refrigerator,MFB-B0A-ELXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b0a-elxx-xx
direct-cool-refrigerator,MFB-B0A-RNXX-RP,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b0a-rnxx-rp
direct-cool-refrigerator,MFA-2A3-ELXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-elxx-xx
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=5
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=7
direct-cool-refrigerator,MFA-2A3-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-gdeh-xx
direct-cool-refrigerator,MFA-2A3-GDEL-SC,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-gdel-sc
direct-cool-refrigerator,MFA-2A3-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-2a3-gdel-xx
